Test,RunTime
addr-probs,129
two-cap-prob,66
workitem-probs,5339
date-probs,75
cap-prob,64
bib-to-end-with-synth,863
data.gov/Demographic Statistics By Zip Code /xml-to-csv,2395
data.gov/Demographic Statistics By Zip Code /xml-to-rdf,16291
data.gov/2010 Census Populations by Zip Code/xml-to-csv,180
data.gov/2010 Census Populations by Zip Code/xml-to-rdf,331
data.gov/Total Crime Index For The Nation’s Largest Cities/xml-to-csv,127
data.gov/Total Crime Index For The Nation’s Largest Cities/xml-to-rdf,233
data.gov/City of Seattle Wages: Comparison by Gender - All Job Classifications/xml-to-csv,3416
data.gov/City of Seattle Wages: Comparison by Gender - All Job Classifications/xml-to-rdf,1595
data.gov/City of Seattle Wages: Comparison by Gender - All Job Classifications/xml-to-rdf-lib,127
AugeasExamples/aptcrngsec,127
AugeasExamples/bootconf,180
AugeasExamples/xml,2618
AugeasExamples/cron,337
AugeasExamples/aptsources,208
AugeasExamples/avahi,128
AugeasExamples/carbon,283
AugeasExamples/cachefilesd,127
AugeasExamples/activemq,127
AugeasExamples/cgconfig,230
AugeasExamples/automounter,472
AugeasExamples/channels,424
AugeasExamples/bbhosts,1227
AugeasExamples/cgrules,178
AugeasExamples/aptconf-l1,405
AugeasExamples/access,180
AugeasExamples/apt-upd-mgr,126
AugeasExamples/automaster,333
AugeasExamples/aptprefs,175
AugeasExamples/afs-cellalias,134
AugeasExamples/anacron,183
AugeasExamples/aptconf,181
AugeasExamples/xml-l1,2540
AugeasExamples/approx,126
AugeasExamples/hosts,172
AugeasExamples/backuppchosts,177
AugeasExamples/chrony,184
AugeasExamples/alias,133
AugeasExamples/auth-keys,344
FlashFillExamples/extr-num,74
FlashFillExamples/extr-fname,129
FlashFillExamples/extr-quant,76
FlashFillExamples/extr-fname-err,76
