Test,RunTime
addr-probs,228
two-cap-prob,77
workitem-probs,5917
date-probs,79
cap-prob,77
bib-to-end-with-synth,233
AugeasExamples/aptcrngsec,191
AugeasExamples/bootconf,287
AugeasExamples/xml,2427
AugeasExamples/cron,547
AugeasExamples/aptsources,339
AugeasExamples/avahi,214
AugeasExamples/carbon,423
AugeasExamples/cachefilesd,185
AugeasExamples/activemq,210
AugeasExamples/cgconfig,402
AugeasExamples/automounter,880
AugeasExamples/channels,694
AugeasExamples/bbhosts,1839
AugeasExamples/cgrules,284
AugeasExamples/aptconf-l1,759
AugeasExamples/access,285
AugeasExamples/apt-upd-mgr,187
AugeasExamples/automaster,455
AugeasExamples/aptprefs,224
AugeasExamples/afs-cellalias,231
AugeasExamples/anacron,261
AugeasExamples/aptconf,287
AugeasExamples/xml-l1,6452
AugeasExamples/approx,180
AugeasExamples/hosts,233
AugeasExamples/backuppchosts,244
AugeasExamples/chrony,314
AugeasExamples/alias,180
AugeasExamples/auth-keys,661
FlashFillExamples/extr-num,81
FlashFillExamples/extr-fname,134
FlashFillExamples/extr-quant,76
FlashFillExamples/extr-fname-err,91
